date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-07-09,193.0,242594.5,15.0,34914.0,29947.0,2557816.0,1098.2477250421157,158.05890517765417,11579.469456547136
2020-07-10,214.0,242808.5,12.0,34926.0,27251.0,2585067.0,1099.2165228226054,158.11323028684052,11702.83725241688
2020-07-11,276.0,243084.5,12.0,34938.0,25449.0,2610516.0,1100.466000333891,158.16755539602684,11818.04722772381
2020-07-12,188.0,243272.5,7.0,34945.0,23061.0,2633577.0,1101.3170937111438,158.19924504305223,11922.446506302656
2020-07-13,234.0,243506.5,9.0,34954.0,14006.0,2647583.0,1102.3764333402773,158.239988874942,11985.852962907979
2020-07-14,169.0,243675.5,13.0,34967.0,24222.0,2671805.0,1103.1415119613184,158.2988410765605,12095.508195800605
2020-07-15,114.0,243789.5,17.0,34984.0,28392.0,2700197.0,1103.6576004985886,158.37580164790782,12224.041404135483
2020-07-16,162.0,243951.5,13.0,34997.0,28089.0,2728286.0,1104.3909894726041,158.43465384952637,12351.202903463407
2020-07-17,230.0,244181.5,20.0,35017.0,28661.0,2756947.0,1105.432220732009,158.52519569817025,12480.953899662547
2020-07-18,231.0,244412.5,11.0,35028.0,27569.0,2784516.0,1106.477979083846,158.5749937149244,12605.761310925729
2020-07-19,249.0,244661.5,14.0,35042.0,20621.0,2805137.0,1107.6052250994626,158.63837300897512,12699.114483970021
2020-07-20,218.0,244879.5,3.0,35045.0,14121.0,2819258.0,1108.5921312496812,158.65195428627172,12763.041556205046
2020-07-21,190.0,245069.5,13.0,35058.0,23915.0,2843173.0,1109.4522788117981,158.71080648789024,12871.306971720987
2020-07-22,128.0,245197.5,15.0,35073.0,29288.0,2872461.0,1110.031746643119,158.77871287437318,13003.896454875114
2020-07-23,280.0,245477.5,9.0,35082.0,33018.0,2905479.0,1111.2993325241337,158.8194567062629,13153.371992801325
2020-07-24,306.0,245783.5,10.0,35092.0,28970.0,2934449.0,1112.6846228083853,158.86472763058487,13284.521860562012
2020-07-25,252.0,246035.5,5.0,35097.0,28059.0,2962508.0,1113.8254501012984,158.88736309274586,13411.54754711697
2020-07-26,274.0,246309.5,5.0,35102.0,25177.0,2987685.0,1115.06587342772,158.90999855490682,13525.526153282342
2020-07-27,254.0,246563.5,5.0,35107.0,19374.0,3007059.0,1116.2157549054973,158.9326340170678,13613.234042063688
2020-07-28,168.0,246731.5,5.0,35112.0,25341.0,3032400.0,1116.9763064341062,158.95526947922878,13727.95509138794
2020-07-29,202.0,246933.5,11.0,35123.0,30875.0,3063275.0,1117.8907791054096,159.00506749598293,13867.729070231959
2020-07-30,288.0,247221.5,6.0,35129.0,33396.0,3096671.0,1119.1945817258816,159.0322300505761,14018.91584909754
2020-07-31,382.0,247603.5,3.0,35132.0,29686.0,3126357.0,1120.9239310349801,159.04581132787268,14153.307115039679
2020-08-01,379.0,247982.5,9.0,35141.0,31905.0,3158262.0,1122.639699066782,159.08655515976244,14297.74399908886
2020-08-02,295.0,248277.5,5.0,35146.0,24496.0,3182758.0,1123.9751913342795,159.1091906219234,14408.639655307907
2020-08-03,238.0,248515.5,8.0,35154.0,13467.0,3196225.0,1125.052639333142,159.14540736138096,14469.606009092277
2020-08-04,159.0,248674.5,12.0,35166.0,23491.0,3219716.0,1125.7724470298608,159.1997324705673,14575.951937416967
2020-08-05,190.0,248864.5,5.0,35171.0,29739.0,3249455.0,1126.632594591978,159.22236793272828,14710.583139258013
2020-08-06,384.0,249248.5,10.0,35181.0,32169.0,3281624.0,1128.3709980859408,159.26763885705023,14856.215175709292
2020-08-07,401.0,249649.5,6.0,35187.0,30392.0,3312016.0,1130.186362151251,159.2948014116434,14993.80256890856
